"V1","V2","V3","V4","V5","V6","V7","V8","V9"
3882,US,AL,Huntsville,35802,34.6685,-86.5576,691,256
5472,US,AL,Ward,36922,32.2925,-88.0979,686,205
7460,US,AZ,Camp Verde,86322,34.4862,-111.7808,753,928
1751,US,CA,Escondido,92046,33.1192,-117.0864,825,760
2383,US,CA,Agoura Hills,91301,34.1267,-118.7648,803,818
5081,US,CA,Bakersfield,93304,35.3339,-119.0226,800,661
4864,US,CO,Denver,80211,39.764,-105.018,751,303
4890,US,CO,Brighton,80601,39.9537,-104.8001,751,303
1853,US,CT,Farmington,6032,41.7252,-72.8295,533,860
3817,US,CT,Bridgeport,6610,41.2066,-73.1718,501,203
6719,US,CT,Hartford,6183,41.7638,-72.673,533,860
7412,US,CT,Dayville,6241,41.8531,-71.8601,533,860
3594,US,FL,Tallahassee,32308,30.4731,-84.2176,530,850
4218,US,FL,Orlando,32899,28.3067,-80.6862,534,321
5852,US,FL,Lakeland,33813,27.9475,-81.9204,539,863
6139,US,FL,Gainesville,32608,29.5731,-82.4076,592,352
7278,US,FL,Fort Myers Beach,33931,26.4707,-81.9181,571,239
4413,US,GA,Lawrenceville,30043,34.0091,-84.0088,524,770
5880,US,ID,Mullan,83846,47.4697,-115.7426,881,208
1964,US,IL,Peoria,61615,40.7774,-89.5749,675,309
5978,US,IL,Channahon,60410,41.451,-88.2014,602,815
2701,US,IN,Terre Haute,47802,39.3579,-87.4245,581,812
5264,US,IN,Granger,46530,41.735,-86.1229,588,574
5897,US,IN,Tell City,47586,38.0336,-86.6853,649,812
4028,US,KS,Buhler,67522,38.1192,-97.7469,678,620
4721,US,LA,Abbeville,70510,29.9124,-92.211,642,337
2614,US,MD,Friendsville,21531,39.6368,-79.4068,508,301
3340,US,MD,Dunkirk,20754,38.7363,-76.6468,511,301
4085,US,MI,Saint Charles,48655,43.2911,-84.1707,513,989
7232,US,MI,Saint Clair,48079,42.8549,-82.5461,505,810
1159,US,MO,Jefferson City,65109,38.5516,-92.2745,604,573
6393,US,MO,Ashland,65010,38.7812,-92.2542,604,573
6958,US,MO,Gower,64454,39.6144,-94.6043,616,816
2312,US,NC,Shelby,28150,35.3625,-81.5741,517,704
2346,US,NC,Raleigh,27612,35.848,-78.7004,560,919
2480,US,NC,Charlotte,28208,35.2344,-80.9091,517,704
2486,US,NC,Laurinburg,28352,34.7678,-79.4639,570,910
1193,US,ND,Bismarck,58501,46.8159,-100.7061,687,701
6337,US,NH,Franconia,3580,44.1635,-71.7612,523,603
679,US,NJ,Iselin,8830,40.5692,-74.3157,501,732
5261,US,NJ,Hoboken,7030,40.7458,-74.0321,501,201
2207,US,NY,Syracuse,13211,43.1065,-76.1043,555,315
2220,US,NY,New York,10111,40.7592,-73.9778,501,212
5915,US,NY,Southampton,11968,40.9077,-72.4178,501,631
7151,US,NY,Manhasset,11030,40.7939,-73.6862,501,516
703,US,OH,Columbus,43207,39.8928,-82.9588,535,614
3460,US,OH,Middletown,45044,39.4439,-84.4168,515,513
3741,US,OH,Sandusky,44870,41.4016,-82.731,510,419
4842,US,OK,Oklahoma City,73179,35.4129,-97.6363,650,405
4949,US,OK,Elk City,73644,35.3928,-99.4562,650,580
6483,US,OR,Portland,97203,45.6103,-122.7455,820,503
844,US,PA,West Mifflin,15122,40.3609,-79.9015,508,412
2579,US,PA,Harrisburg,17110,40.3196,-76.8753,566,717
4792,US,PA,Ford City,16226,40.7105,-79.4774,508,724
6850,US,PA,Allentown,18101,40.6018,-75.4746,504,610
4962,US,SC,Seneca,29672,34.7419,-82.9067,567,864
5593,US,TN,Toone,38381,35.3573,-88.9773,639,731
5765,US,TN,Kingsport,37660,36.4907,-82.62,531,423
7612,US,TN,Piney Flats,37686,36.4405,-82.3495,531,423
2550,US,TX,Marble Falls,78654,30.5632,-98.1112,635,830
2984,US,TX,Houston,77015,29.7672,-95.1589,618,713
4763,US,TX,Wichita Falls,76301,33.8987,-98.4785,627,940
5388,US,TX,Houston,77073,30.0028,-95.3963,618,281
7208,US,TX,Texarkana,75501,33.369,-94.1531,612,903
867,US,VA,Alexandria,22312,38.8177,-77.1527,511,703
870,US,VA,Culpeper,22701,38.4348,-77.9866,511,540
4308,US,WI,New Franken,54229,44.5701,-87.8333,658,920
4343,US,WI,Fort Atkinson,53538,42.8987,-88.7991,617,920
4992,US,WI,Eagle River,54521,45.9203,-89.2186,705,715
